"","state","year","universal"
"1","Alabama",2017,0
"2","Alaska",2017,0
"3","Arizona",2017,0
"4","Arkansas",2017,0
"5","California",2017,1
"6","Colorado",2017,1
"7","Connecticut",2017,1
"8","Delaware",2017,1
"9","Florida",2017,0
"10","Georgia",2017,0
"11","Hawaii",2017,0
"12","Idaho",2017,0
"13","Illinois",2017,0
"14","Indiana",2017,0
"15","Iowa",2017,0
"16","Kansas",2017,0
"17","Kentucky",2017,0
"18","Louisiana",2017,0
"19","Maine",2017,0
"20","Maryland",2017,0
"21","Massachusetts",2017,0
"22","Michigan",2017,0
"23","Minnesota",2017,0
"24","Mississippi",2017,0
"25","Missouri",2017,0
"26","Montana",2017,0
"27","Nebraska",2017,0
"28","Nevada",2017,1
"29","New Hampshire",2017,0
"30","New Jersey",2017,0
"31","New Mexico",2017,0
"32","New York",2017,1
"33","North Carolina",2017,0
"34","North Dakota",2017,0
"35","Ohio",2017,0
"36","Oklahoma",2017,0
"37","Oregon",2017,1
"38","Pennsylvania",2017,0
"39","Rhode Island",2017,1
"40","South Carolina",2017,0
"41","South Dakota",2017,0
"42","Tennessee",2017,0
"43","Texas",2017,0
"44","Utah",2017,0
"45","Vermont",2017,0
"46","Virginia",2017,0
"47","Washington",2017,1
"48","West Virginia",2017,0
"49","Wisconsin",2017,0
"50","Wyoming",2017,0
